id,cluster
P479319_rev_000135,27
P510506_rev_000462,7
P510506_rev_000457,7
P510506_rev_000428,7
P515885_rev_000338,11
P515885_rev_000221,11
P510506_rev_000479,7
P515885_rev_000415,11
P510506_rev_000425,7
P510506_rev_000483,7
P515885_rev_000323,11
P515885_rev_000413,11
P510506_rev_000471,7
P510506_rev_000458,7
P510506_rev_000466,7
P479319_rev_000097,27
P515885_rev_000268,11
P479319_rev_000137,-1
P515885_rev_000361,11
P479319_rev_000127,27
P515885_rev_000291,11
P479319_rev_000156,-1
P479319_rev_000016,27
P479319_rev_000158,27
P479319_rev_000080,27
P479319_rev_000060,27
P515885_rev_000279,11
P510506_rev_000492,7
P515885_rev_000203,11
P479319_rev_000093,-1
P479319_rev_000043,27
P479319_rev_000014,-1
P510506_rev_000440,7
P479319_rev_000180,-1
P515885_rev_000273,11
P479319_rev_000039,27
P479319_rev_000107,27
P479319_rev_000122,27
P479319_rev_000165,27
P479319_rev_000116,27
P515885_rev_000398,11
P479319_rev_000092,26
P479319_rev_000101,27
P515885_rev_000330,11
P479319_rev_000183,-1
P515885_rev_000343,11
P479319_rev_000160,27
P479319_rev_000052,27
P515885_rev_000352,11
P515885_rev_000289,11
P479319_rev_000173,27
P515885_rev_000219,11
P515885_rev_000234,11
P479319_rev_000172,26
P479319_rev_000050,26
P515885_rev_000393,11
P515885_rev_000384,11
P479319_rev_000042,-1
P515885_rev_000412,11
P515885_rev_000392,11
P515885_rev_000292,11
P479319_rev_000131,27
P515885_rev_000379,11
P515885_rev_000236,11
P510506_rev_000470,7
P515885_rev_000350,11
P479319_rev_000059,27
P515885_rev_000382,11
P479319_rev_000028,27
P479319_rev_000025,27
P479319_rev_000181,27
P515885_rev_000262,11
P479319_rev_000126,27
P479319_rev_000070,27
P479319_rev_000152,27
P515885_rev_000204,11
P515885_rev_000394,11
P515885_rev_000324,11
P515885_rev_000306,11
P479319_rev_000134,27
P510506_rev_000430,7
P515885_rev_000360,11
P479319_rev_000167,27
P479319_rev_000110,27
P479319_rev_000082,27
P515885_rev_000198,11
P479319_rev_000087,27
P510506_rev_000463,7
P515885_rev_000309,11
P479319_rev_000144,27
P515885_rev_000304,11
P510506_rev_000484,7
P479319_rev_000065,27
P479319_rev_000182,-1
P515885_rev_000356,11
P479319_rev_000041,27
P479319_rev_000104,-1
P479319_rev_000013,-1
P479319_rev_000188,-1
P515885_rev_000311,11
P479319_rev_000003,26
P479319_rev_000177,-1
P479319_rev_000145,27
P479319_rev_000143,27
P515885_rev_000301,11
P479319_rev_000055,27
P515885_rev_000261,11
P515885_rev_000250,11
P479319_rev_000105,26
P479319_rev_000115,27
P510506_rev_000472,7
P515885_rev_000345,11
P479319_rev_000161,27
P515885_rev_000406,11
P515885_rev_000286,11
P479319_rev_000015,-1
P479319_rev_000125,27
P479319_rev_000106,27
P479319_rev_000063,27
P479319_rev_000072,27
P515885_rev_000223,11
P515885_rev_000287,11
P479319_rev_000034,-1
P515885_rev_000389,11
P515885_rev_000281,11
P515885_rev_000259,11
P515885_rev_000402,11
P515885_rev_000332,11
P479319_rev_000117,27
P479319_rev_000026,27
P515885_rev_000337,11
P515885_rev_000408,11
P515885_rev_000417,11
P479319_rev_000124,27
P510506_rev_000497,7
P510506_rev_000427,7
P515885_rev_000282,11
P479319_rev_000079,27
P479319_rev_000136,26
P479319_rev_000045,-1
P479319_rev_000056,27
P515885_rev_000215,11
P515885_rev_000313,11
P515885_rev_000278,11
P515885_rev_000365,11
P515885_rev_000276,11
P515885_rev_000322,11
P515885_rev_000375,11
P510506_rev_000461,7
P479319_rev_000031,27
P515885_rev_000294,11
P479319_rev_000128,27
P515885_rev_000369,11
P479319_rev_000197,27
P479319_rev_000048,27
P510506_rev_000473,7
P510506_rev_000439,7
P479319_rev_000018,27
P515885_rev_000230,11
P479319_rev_000071,27
P479319_rev_000051,27
P515885_rev_000336,11
P515885_rev_000199,11
P515885_rev_000248,11
P479319_rev_000024,27
P479319_rev_000162,27
P479319_rev_000118,-1
P515885_rev_000228,11
P479319_rev_000098,-1
P515885_rev_000319,11
P510506_rev_000438,7
P515885_rev_000348,11
P479319_rev_000004,27
P479319_rev_000185,27
P510506_rev_000478,7
P515885_rev_000254,11
P479319_rev_000159,-1
P515885_rev_000220,11
P515885_rev_000342,11
P515885_rev_000303,11
P510506_rev_000474,7
P515885_rev_000265,11
P515885_rev_000381,11
P515885_rev_000362,11
P515885_rev_000274,11
P515885_rev_000377,11
P479319_rev_000175,26
P515885_rev_000410,11
P515885_rev_000239,11
P515885_rev_000326,11
P515885_rev_000370,11
P479319_rev_000109,27
P479319_rev_000186,27
P479319_rev_000009,26
P515885_rev_000256,11
P515885_rev_000349,11
P515885_rev_000420,11
P510506_rev_000495,7
P479319_rev_000195,27
P479319_rev_000112,27
P510506_rev_000493,7
P515885_rev_000233,11
P515885_rev_000380,11
P479319_rev_000019,27
P479319_rev_000086,27
P479319_rev_000142,27
P479319_rev_000111,27
P515885_rev_000355,11
P510506_rev_000475,7
P479319_rev_000029,27
P479319_rev_000100,27
P510506_rev_000453,6
P510506_rev_000488,7
P479319_rev_000076,27
P515885_rev_000341,11
P515885_rev_000210,11
P479319_rev_000002,-1
P510506_rev_000437,7
P479319_rev_000148,-1
P479319_rev_000090,-1
P515885_rev_000275,11
P479319_rev_000081,27
P510506_rev_000487,7
P510506_rev_000499,7
P515885_rev_000283,11
P479319_rev_000166,26
P515885_rev_000252,11
P479319_rev_000035,27
P515885_rev_000333,11
P515885_rev_000354,11
P515885_rev_000225,11
P515885_rev_000387,11
P479319_rev_000074,27
P515885_rev_000339,11
P479319_rev_000033,27
P55978864_rev_000982,30
P55978864_rev_000843,37
P55978864_rev_000861,37
P55978864_rev_000990,37
P469087_rev_000714,10
P469087_rev_000780,13
P55978864_rev_000907,37
P55978864_rev_000875,36
P469087_rev_000757,10
P55978864_rev_000891,5
P469087_rev_000712,10
P55978864_rev_000824,37
P510506_rev_000567,7
P55978864_rev_000835,36
P55978864_rev_000846,-1
P510506_rev_000522,7
P510506_rev_000662,7
P469087_rev_000786,10
P55978864_rev_000866,37
P510506_rev_000641,7
P510506_rev_000514,7
P55978864_rev_000828,36
P55978864_rev_000997,37
P510506_rev_000587,7
P510506_rev_000633,7
P510506_rev_000661,7
P510506_rev_000621,7
P510506_rev_000571,7
P55978864_rev_000914,37
P55978864_rev_000844,36
P510506_rev_000608,7
P510506_rev_000533,7
P55978864_rev_000807,37
P55978864_rev_000989,37
P510506_rev_000575,7
P510506_rev_000502,7
P510506_rev_000601,7
P55978864_rev_000816,36
P510506_rev_000569,7
P510506_rev_000524,7
P510506_rev_000665,7
P469087_rev_000781,10
P55978864_rev_000890,37
